Time,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Control Force
1740037239.4019427,-0.7985131266130904,0.07691154675822723,0.021388303249437,0.2172921134868753,7.172635492451113
1740037239.4519472,-0.7982589678885442,0.08854612975281065,0.022006542914217747,0.2005945089505709,6.024821125497811
1740037239.4598906,-0.7979459848824417,0.11496094759093528,0.022538880656668942,0.16176223676139762,22.87538701868122
1740037239.4841855,-0.7976896789025598,0.13697287662091528,0.02282366449262715,0.1292997968923004,5.290597357035017
1740037239.5274782,-0.7973771237983336,0.15801675682952607,0.023025224630717427,0.09832324023872696,5.163087812546086
1740037239.5504975,-0.796537410735051,0.1743772493811842,0.023447056920168796,0.07534484530677397,36.57600854135371
1740037239.5911448,-0.7961038031676132,0.23090657479833895,0.023471392830244738,-0.008827508052774637,37.36777320381669
1740037239.6039906,-0.7958448083658235,0.2589948017896759,0.02342076297105997,-0.05062985918476965,3.025849277344776
1740037239.6289802,-0.7955845775098719,0.2602308559516276,0.02336863793519597,-0.052125035864000274,2.9418641116151765
1740037239.656642,-0.7953062597238307,0.27831778604109514,0.023289730289119882,-0.07890764607608777,0.9921928162077709
1740037239.681237,-0.795029059289876,0.2772004339547799,0.023212865647128173,-0.07686464199170985,24.177768543660903
1740037239.6977916,-0.7942041108584819,0.27387908969144464,0.022994435605149594,-0.0707920316102148,0.3307365747367734
1740037239.7557526,-0.7939313287566062,0.27278210187565965,0.022925649250262727,-0.06878635488686816,0.10910644770636124
1740037239.7726772,-0.7933903769494972,0.2697094491588791,0.02279606998433214,-0.06346140138179508,0.10910644770636124
1740037239.78344,-0.7928602567630849,0.26193685482417384,0.02268416279709458,-0.051090330247730215,-17.250186133320344
1740037239.784148,-0.7926045400521637,0.2557167109211858,0.022642755816313528,-0.041406980781051816,0.10910644770636124
1740037239.7928205,-0.792349892907654,0.2546471445097551,0.022603299381442673,-0.03945643487085336,0.2959074830700066
1740037239.8301995,-0.7913218638290578,0.2584270657487157,0.02243474546108392,-0.043753200179674503,4.962149801305463
1740037239.8528504,-0.7904987002158653,0.2912021583291455,0.022233691834061098,-0.09190432120961275,6.867716447055799
1740037239.897662,-0.7901907762729427,0.3079239429226372,0.022117048097402517,-0.1166437366585793,0.33186784720014006
1740037239.9060428,-0.7891696440076146,0.3476030574900513,0.021623195709543748,-0.17508972048955004,0.23827574198514734
1740037239.9235818,-0.7874669080732466,0.3356178459242585,0.020806178003797856,-0.15528649675342437,27.285613593770233
1740037239.9580727,-0.7861515819761484,0.32402758990475933,0.02022926201713157,-0.1365026973664357,-1.2104304225317515
1740037239.9637127,-0.785830641711814,0.3209402643343963,0.02009773114155416,-0.13153087557740611,-1.2104304225317515
1740037240.0265427,-0.7848704288260985,0.3197221714317154,0.019709053016083614,-0.12870410148267603,-1.6843139070133901
1740037240.0409548,-0.7842392610262146,0.31419275583123984,0.019465048394211825,-0.11975184262760313,-1.6843139070133901
1740037240.0552077,-0.7836189818973537,0.308792489834831,0.019238674299870275,-0.11100577011783257,-1.6635959763754684
1740037240.0994473,-0.7833025942914776,0.31638760587607606,0.019116586299227713,-0.12208800064256155,-1.5863048469655385
1740037240.1038046,-0.7820478818040572,0.3206887220663528,0.018647648639174515,-0.12728928210453347,-1.5863048469655385
1740037240.1122189,-0.7813855416033252,0.3298405947605706,0.018362550024886702,-0.14039618866063552,-1.5863048469655385
1740037240.13101,-0.7810583481047241,0.32719349860109503,0.018226438843744936,-0.13611118114176443,16.57905676253413
1740037240.1390512,-0.7807337898614781,0.32455824324590793,0.01809459162101621,-0.1318472227287251,-1.5162632273102967
1740037240.1650052,-0.7804118551066194,0.32193475485878753,0.01796698748697126,-0.1276041340449538,-14.33201600836942
1740037240.1716301,-0.7800924204361801,0.3194346704392515,0.01784343809434332,-0.12354939262793933,-14.33201600836942
1740037240.194745,-0.7797858004904304,0.3066199457496042,0.01773942075066086,-0.10401734368246097,-2.0108340169522476
1740037240.2110338,-0.7786265746548052,0.2856245271166918,0.01742715651164786,-0.0713669886651499,-2.0108340169522476
1740037240.2199335,-0.7781714737135389,0.20824629265815897,0.017459555854644565,0.045301843180512454,-47.07772280004779
1740037240.2561975,-0.7780016751759644,0.16979853757448352,0.017562804154874972,0.10324830023040665,-1.7964190284329467
1740037240.2584264,-0.7778341894798424,0.16748569612197825,0.01766975095665726,0.10694680178228663,-63.67858031771487
1740037240.3026838,-0.7776688936400498,0.1652958397926308,0.01778021213800719,0.11046118134993045,-1.7281959636192425
1740037240.31943,-0.777186006054568,0.15883148717323411,0.018132478946846973,0.12085000897976533,-61.28994922492443
1740037240.3300664,-0.7770292765652509,0.15672948931711905,0.018256714081713234,0.12423513486626174,-38.01454985479501
1740037240.3538177,-0.7768743441045032,0.15493246074771871,0.01838387744823405,0.12716336652081636,-0.7432356734585865
1740037240.4074762,-0.7767447228015332,0.12962130296998375,0.01854925996802494,0.16538251979089122,19.675385268277342
1740037240.4414551,-0.7764844503087573,0.07654540926435063,0.019239702319726774,0.2456831568417765,1.5422673124893627
1740037240.486368,-0.7763926121340883,0.0918381746690199,0.01946264375600295,0.22294143627617682,31.815769521729177
1740037240.500273,-0.7762990859820708,0.09352615201753504,0.019683271286424955,0.2206275304220067,39.12451571433362
1740037240.5047472,-0.7762038801605172,0.09520582155351032,0.019901601329499006,0.21833004307405043,2.686368002592392
1740037240.506385,-0.7761070029286926,0.0968772318245777,0.02011765019203985,0.2160488625408459,40.9200059955395
